set_no,tag_spp,tag_no,salt,shade
55,Pa x Spu,13,0,D4
56,Pa,15,6,D4
56,Pv,23,6,D4
56,Ds,57,6,D4
56,Sp,33,6,D4
56,Sa,52,6,D4
56,Spu,54,6,D4
56,Pv x Ds,56,6,D4
56,Pv x Sp,22,6,D4
56,Pv x Sa,20,6,D4
56,Pv x Spu,40,6,D4
56,Pa x Ds,22,6,D4
56,Pa x Sp,19,6,D4
56,Pa x Sa,30,6,D4
56,Pa x Spu,3,6,D4
57,Pa,8,3,D4
57,Pv,18,3,D4
57,Ds,39,3,D4
57,Sp,28,3,D4
57,Sa,55,3,D4
57,Spu,47,3,D4
57,Pv x Ds,57,3,D4
57,Pv x Sp,27,3,D4
57,Pv x Sa,24,3,D4
57,Pv x Spu,35,3,D4
57,Pa x Ds,16,3,D4
57,Pa x Sp,15,3,D4
57,Pa x Sa,10,3,D4
57,Pa x Spu,8,3,D4
58,Pa,5,0,D2
58,Pv,16,0,D2
58,Ds,48,0,D2
58,Sp,43,0,D2
58,Sa,34,0,D2
58,Spu,72,0,D2
58,Pv x Ds,61,0,D2
58,Pv x Sp,12,0,D2
58,Pv x Sa,25,0,D2
58,Pv x Spu,62,0,D2
58,Pa x Ds,28,0,D2
58,Pa x Sp,14,0,D2
58,Pa x Sa,3,0,D2
58,Pa x Spu,36,0,D2
59,Pa,11,3,D2
59,Pv,11,3,D2
59,Ds,45,3,D2
59,Sp,48,3,D2
59,Sa,32,3,D2
59,Spu,63,3,D2
59,Pv x Ds,66,3,D2
59,Pv x Sp,7,3,D2
59,Pv x Sa,37,3,D2
59,Pv x Spu,61,3,D2
59,Pa x Ds,19,3,D2
59,Pa x Sp,5,3,D2
59,Pa x Sa,2,3,D2
59,Pa x Spu,7,3,D2
60,Pa,18,6,D2
60,Pv,6,6,D2
60,Ds,51,6,D2
60,Sp,53,6,D2
60,Sa,33,6,D2
60,Spu,58,6,D2
60,Pv x Ds,71,6,D2
60,Pv x Sp,2,6,D2
60,Pv x Sa,21,6,D2
60,Pv x Spu,67,6,D2
60,Pa x Ds,18,6,D2
60,Pa x Sp,20,6,D2
60,Pa x Sa,1,6,D2
60,Pa x Spu,12,6,D2
61,Pa,13,3,C4
61,Pv,5,3,C4
61,Ds,58,3,C4
61,Sp,44,3,C4
61,Sa,37,3,C4
61,Spu,71,3,C4
61,Pv x Ds,27,3,C4
61,Pv x Sp,1,3,C4
61,Pv x Sa,26,3,C4
61,Pv x Spu,72,3,C4
61,Pa x Ds,27,3,C4
61,Pa x Sp,6,3,C4
61,Pa x Sa,6,3,C4
61,Pa x Spu,4,3,C4
62,Pa,19,0,C4
62,Pv,10,0,C4
62,Ds,50,0,C4
62,Sp,49,0,C4
62,Sa,36,0,C4
62,Spu,64,0,C4
62,Pv x Ds,67,0,C4
62,Pv x Sp,6,0,C4
62,Pv x Sa,36,0,C4
62,Pv x Spu,66,0,C4
62,Pa x Ds,20,0,C4
62,Pa x Sp,11,0,C4
62,Pa x Sa,31,0,C4
62,Pa x Spu,6,0,C4
63,Pa,14,6,C4
63,Pv,15,6,C4
63,Ds,52,6,C4
63,Sp,69,6,C4
63,Sa,35,6,C4
63,Spu,59,6,C4
63,Pv x Ds,62,6,C4
63,Pv x Sp,11,6,C4
63,Pv x Sa,40,6,C4
63,Pv x Spu,71,6,C4
63,Pa x Ds,17,6,C4
63,Pa x Sp,10,6,C4
63,Pa x Sa,34,6,C4
63,Pa x Spu,5,6,C4
64,Pv,7,0,C4
64,Ds,55,0,C4
64,Sp,34,0,C4
64,Sa,44,0,C4
64,Spu,68,0,C4
64,Pv x Ds,58,0,C4
64,Pv x Sp,17,0,C4
64,Pv x Sa,64,0,C4
64,Pv x Spu,58,0,C4
65,Pv,27,3,C4
65,Ds,71,3,C4
65,Sp,29,3,C4
65,Sa,45,3,C4
65,Spu,69,3,C4
65,Pv x Ds,70,3,C4
65,Pv x Sp,3,3,C4
65,Pv x Sa,30,3,C4
65,Pv x Spu,68,3,C4
66,Pv,74,6,C4
66,Ds,72,6,C4
66,Sp,68,6,C4
66,Sa,46,6,C4
66,Spu,53,6,C4
66,Pv x Ds,65,6,C4
66,Pv x Sp,16,6,C4
66,Pv x Sa,29,6,C4
66,Pv x Spu,63,6,C4
67,Pv,75,6,D2
67,Ds,70,6,D2
67,Sp,39,6,D2
67,Sa,41,6,D2
67,Spu,66,6,D2
67,Pv x Ds,64,6,D2
67,Pv x Sp,20,6,D2
67,Pv x Sa,34,6,D2
67,Pv x Spu,64,6,D2
68,Pv,8,0,D2
68,Ds,61,0,D2
68,Sp,30,0,D2
68,Sa,42,0,D2
68,Spu,67,0,D2
68,Pv x Ds,69,0,D2
68,Pv x Sp,4,0,D2
68,Pv x Sa,31,0,D2
68,Pv x Spu,69,0,D2
69,Pv,17,3,D2
69,Ds,62,3,D2
69,Sp,55,3,D2
69,Sa,43,3,D2
69,Spu,65,3,D2
69,Pv x Ds,59,3,D2
69,Pv x Sp,21,3,D2
69,Pv x Sa,39,3,D2
69,Pv x Spu,59,3,D2
70,Pv,22,6,D4
70,Ds,68,6,D4
70,Sp,63,6,D4
70,Sa,40,6,D4
70,Spu,62,6,D4
70,Pv x Ds,68,6,D4
70,Pv x Sp,5,6,D4
70,Pv x Sa,38,6,D4
70,Pv x Spu,70,6,D4
71,Pv,9,3,D4
71,Ds,46,3,D4
71,Sp,50,3,D4
71,Sa,39,3,D4
71,Spu,61,3,D4
71,Pv x Ds,63,3,D4
71,Pv x Sp,25,3,D4
71,Pv x Sa,35,3,D4
71,Pv x Spu,65,3,D4
72,Pv,14,0,D4
72,Ds,44,0,D4
72,Sp,54,0,D4
72,Sa,38,0,D4
72,Spu,60,0,D4
72,Pv x Ds,60,0,D4
72,Pv x Sp,26,0,D4
72,Pv x Sa,32,0,D4
72,Pv x Spu,60,0,D4
